procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1538928 1009612 5937352    0    0     0    12 66693 101275  1  3 96  0  0
 1  0   3840 1548904 1009612 5937612    0    0     0    52 58787 81950  3  2 95  0  0
 1  0   3840 1564076 1009612 5937616    0    0     0     0 54676 78575  1  2 97  0  0
 2  0   3840 1563440 1009620 5937624    0    0     0   340 55460 79513  4  4 91  0  0
 0  0   3840 1563536 1009620 5937636    0    0     0     0 54685 78047  1  2 96  0  0
 0  0   3840 1557604 1009640 5937624    0    0     0   188 54446 77488  1  2 96  0  0
 1  0   3840 1558876 1009640 5937648    0    0     0    56 55859 80421  1  2 97  0  0
 1  0   3840 1672020 1009640 5937976    0    0     0   264 55142 78798  2  3 95  0  0
 1  0   3840 1672168 1009640 5937660    0    0     0     4 54268 76872  3  3 93  0  0
 0  0   3840 1706288 1009640 5937668    0    0     0     4 54159 76971  1  2 97  0  0
 1  0   3840 1720052 1009648 5937664    0    0     0   108 54763 78195  1  2 96  1  0
 2  0   3840 1715300 1009648 5937680    0    0     0    56 54826 78390  1  2 97  0  0
 1  0   3840 1714740 1009648 5937688    0    0     0   228 54664 77822  1  2 97  0  0
 1  0   3840 1712300 1009648 5937692    0    0     0     0 55281 78924  1  2 97  0  0
 1  0   3840 1708536 1009648 5937696    0    0     0    12 55524 79432  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0   3840 1673620 1009652 5937700    0    0     8   344 57397 84518  6  5 89  1  0
 0  0   3840 1681688 1009652 5937524    0    0     0   528 55964 79951  5  4 91  0  0
 0  0   3840 1687628 1009652 5937852    0    0     0     4 54823 78177  1  2 97  0  0
 1  0   3840 1535776 1009652 5937856    0    0     0   264 57715 79395  6  4 90  0  0
 1  0   3840 1537532 1009652 5937868    0    0     0     0 54520 78038  1  2 97  0  0
 1  0   3840 1535120 1009660 5937868    0    0     0   120 54548 77673  1  2 97  0  0
 2  0   3840 1536716 1009660 5937764    0    0     0     0 54798 77998  1  2 97  0  0
 1  0   3840 1538832 1009660 5937452    0    0     0   132 54639 77753  1  2 97  0  0
 1  0   3840 1539820 1009660 5937776    0    0     0     0 54501 77281  1  2 97  0  0
 1  0   3840 1536384 1009660 5941668    0    0     0     0 55239 79022  1  2 96  0  0
 2  1   3840 1449844 1011100 5987272    0    0     0 59500 65098 102760  6  4 84  5  0
 4  0   3840 1431896 1011728 6023468    0    0     0 55576 72646 113801  5  5 84  5  0
 1  1   3840 1375588 1012064 6069024    0    0     0 62564 60871 91544  1  4 89  5  0
 3  0   3840 1325232 1014116 6114752    0    0     4 62528 60373 90330  1  3 90  6  0
 1  1   3840 1260312 1015648 6162192    0    0     0 62852 61105 91108  1  3 90  6  0
 0  1   3840 1211428 1015808 6209920    0    0     0 63276 62020 92752  1  3 90  6  0
 1  1   3840 1176452 1016332 6256076    0    0     8 63472 61246 91237  1  3 90  6  0
 1  0   3840 1122160 1018676 6303876    0    0     0 63140 61247 91406  1  3 90  6  0
 1  1   3840 1061448 1019132 6351824    0    0     0 63532 61658 92246  2  3 89  6  0
 1  1   3840 1012916 1021420 6399136    0    0     4 63032 60117 89469  1  3 90  6  0
 2  1   3840 964772 1021684 6445216    0    0     0 63280 63665 91523  3  3 89  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  1   3840 1453488 1023116 5969360    0    0     0 58904 61555 91702  1  4 89  5  0
 2  1   3840 1395744 1024008 6012792    0    0     0 62376 62053 93048  4  4 86  6  0
 1  1   3840 1338000 1024580 6058992    0    0     4 62852 60892 90528  2  3 89  6  0
 0  1   3840 1285364 1026440 6104664    0    0     0 62756 61044 90826  1  3 90  6  0
 0  1   3840 1247648 1027432 6150560    0    0     0 63040 61159 90910  1  3 90  6  0
 1  1   3840 1216912 1027804 6199676    0    0     4 63604 61241 91310  1  3 90  6  0
 1  1   3840 1160656 1028068 6244652    0    0     0 62140 60128 89710  1  3 90  6  0
 1  1   3840 1099744 1028924 6292536    0    0     0 63132 60122 88891  1  3 90  6  0
 1  1   3840 1052620 1028976 6340140    0    0     4 63568 58958 87024  1  3 90  6  0
 1  1   3840 1004844 1029364 6385964    0    0     0 62876 60463 89646  1  3 90  6  0
 0  1   3840 978824 1029576 6430488    0    0     0 59212 61093 91484  1  3 90  6  0
 0  1   3840 1474100 1030200 5954136    0    0     4 58736 59866 88809  1  4 89  5  0
 1  1   3840 1418244 1031684 5998536    0    0     0 62156 60191 90213  1  3 90  6  0
 2  1   3840 1368804 1032152 6045508    0    0     0 63296 60444 90297  1  3 90  6  0
 1  1   3840 1313864 1033152 6090384    0    0     4 62860 60819 90976  1  4 90  6  0
 2  1   3840 1278364 1035952 6136384    0    0     0 62596 62112 93070  1  3 90  6  0
 0  0   3840 1229228 1036292 6183364    0    0     0 62660 61211 91465  1  3 90  6  0
 1  1   3840 1177708 1037548 6229808    0    0     0 63204 60550 90355  2  3 90  6  0
 1  1   3840 1145404 1038484 6276532    0    0     0 63568 62630 89707  3  3 88  6  0
 1  1   3840 1101792 1038744 6325608    0    0     0 63112 60808 91138  1  3 90  6  0
 1  1   3840 1052144 1040724 6371104    0    0     4 63172 61052 91736  1  3 90  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  1   3840 999740 1043308 6418776    0    0     0 63164 61018 90803  1  3 90  6  0
 3  0   3840 1073848 1044284 6299348    0    0     0 60408 61132 91379  2  3 89  6  0
 3  1   3840 1423788 1044320 5988916    0    0     0 61212 60862 90611  1  4 90  6  0
 1  1   3840 1376984 1046760 6035492    0    0     0 63208 61161 91215  1  3 90  6  0
 1  1   3840 1328640 1047376 6080896    0    0     0 63488 61631 91743  1  3 90  6  0
 1  1   3840 1284008 1047644 6125920    0    0     0 62960 61002 91164  1  3 90  6  0
 4  1   3840 1235264 1047836 6173700    0    0     0 63204 60634 90072  1  3 90  6  0
 0  1   3840 1186660 1048416 6218620    0    0     0 63024 61078 90847  1  3 90  6  0
 3  0   3840 1132468 1050348 6266876    0    0     0 63136 62015 93440  1  3 90  6  0
 0  1   3840 1068052 1051172 6313560    0    0     0 63696 61383 91955  1  3 90  6  0
 0  1   3840 1017492 1051656 6361212    0    0     0 63464 60531 89463  1  3 90  6  0
 0  1   3840 954328 1052772 6409688    0    0     0 63524 61437 91436  1  3 90  6  0
 1  1   3840 917488 1054512 6455184    0    0     0 62592 60629 90054  1  3 90  6  0
