sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss   iTLB_miss  dTLB_miss  elapsed_ms
34   318735956   212274109     5056079       55042293             1970614        228639    2264342    61610      68394      100
34   300657209   263653801     4312780       42181995             1711554        249148    2484426    96236      89571      100
34   247698249   168691602     6640194       75853068             2504653        277878    2823452    156556     175050     100
34   204843647   87759342      2716032       15142612             1261557        151060    2299026    110160     119707     100
34   168300078   70652900      2506999       12567061             1172668        131127    1345513    68911      101318     100
34   160551302   49900281      1794368       14580679             1190620        157060    1499347    66177      75671      100
34   155678825   44594788      1221723       7168753              783024         77376     689141     31216      53035      100
34   193449959   56507741      1338584       9894985              940528         94064     812945     45869      27456      100
34   1651732944  1686689085    15448878      320443533            7327778        274314    19310562   123694     2317172    100
35   316913870   71419292      4064638       17075051             1487165        152466    1722080    71286      72466      100
35   312455713   271381466     3818658       30590168             1594420        127017    1361359    59400      77209      100
35   339786618   291682060     5043349       49450964             1595274        244291    3151204    88715      97277      100
35   270382282   164186920     6083830       67015095             2321012        263676    3472341    191930     180542     100
35   141796743   141670099     3663219       14951544             1484067        244849    2419536    156864     188076     100
