Linux 6.8.0-59-generic (superlzx) 	2025年05月16日 	_x86_64_	(16 CPU)

15时39分37秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15时44分45秒     all      5.13      0.00      2.53      0.00      0.00     92.34
15时44分46秒     all      1.82      0.00      2.79      0.00      0.00     95.40
15时44分47秒     all      0.97      0.00      1.95      0.00      0.00     97.08
15时44分48秒     all      0.91      0.00      2.15      0.00      0.00     96.94
15时44分49秒     all      0.97      0.00      2.46      0.00      0.00     96.56
15时44分50秒     all      1.17      0.00      2.99      0.00      0.00     95.84
15时44分51秒     all      0.98      0.00      2.15      0.00      0.00     96.88
15时44分52秒     all      0.91      0.00      2.21      0.00      0.00     96.88
15时44分53秒     all      0.91      0.00      2.14      0.06      0.00     96.88
15时44分54秒     all      1.29      0.00      2.33      0.39      0.00     95.99
15时44分55秒     all      0.78      0.00      2.28      0.00      0.00     96.94
15时44分56秒     all      1.04      0.00      1.95      0.00      0.00     97.01
15时44分57秒     all      0.91      0.00      2.28      0.07      0.00     96.75
15时44分58秒     all      1.04      0.00      2.08      0.00      0.00     96.88
15时44分59秒     all      1.04      0.00      1.89      0.00      0.00     97.07
15时45分00秒     all      1.10      0.00      2.46      0.00      0.00     96.44
15时45分01秒     all      0.97      0.00      2.27      0.00      0.00     96.75
15时45分02秒     all      0.85      0.00      2.15      0.00      0.00     97.01
15时45分03秒     all      0.91      0.00      2.08      0.00      0.00     97.00
15时45分04秒     all      2.40      0.00      2.14      0.00      0.00     95.45
15时45分05秒     all      0.91      0.00      1.43      0.00      0.00     97.66
15时45分06秒     all      0.58      0.00      0.51      0.00      0.00     98.91
15时45分07秒     all      0.38      0.00      0.38      0.19      0.00     99.04
15时45分08秒     all      0.26      0.00      0.71      0.00      0.00     99.04
15时45分09秒     all      0.32      0.00      0.64      0.00      0.00     99.04
15时45分10秒     all      0.45      0.00      0.51      0.00      0.00     99.04
15时45分11秒     all      0.38      0.00      0.51      0.00      0.00     99.10
15时45分12秒     all      0.45      0.00      0.58      0.13      0.00     98.85
15时45分13秒     all      0.38      0.00      0.45      0.00      0.00     99.17
15时45分14秒     all      0.32      0.00      0.58      0.00      0.00     99.10
15时45分15秒     all      0.58      0.00      0.58      0.00      0.00     98.85
15时45分16秒     all      0.26      0.00      0.32      0.00      0.00     99.42
15时45分17秒     all      0.38      0.00      0.58      0.00      0.00     99.04
15时45分18秒     all      0.45      0.00      0.64      0.13      0.00     98.78
15时45分19秒     all      0.39      0.00      0.39      0.00      0.00     99.23
15时45分20秒     all      1.30      0.00      1.95      0.00      0.00     96.75
15时45分21秒     all      0.51      0.00      0.64      0.00      0.00     98.84
15时45分22秒     all      0.51      0.00      0.58      0.00      0.00     98.91
15时45分23秒     all      0.51      0.00      0.45      0.00      0.00     99.04
15时45分24秒     all      0.32      0.00      0.71      0.06      0.00     98.91
15时45分25秒     all      1.92      0.00      0.32      0.00      0.00     97.76
15时45分26秒     all      0.39      0.00      0.64      0.00      0.00     98.97
15时45分27秒     all      0.39      0.00      0.64      0.00      0.00     98.97
15时45分28秒     all      3.38      0.00      1.98      0.00      0.00     94.64
15时45分29秒     all      5.41      0.00      5.22      0.57      0.00     88.80
15时45分30秒     all      6.48      0.00      6.29      0.00      0.00     87.24
15时45分31秒     all      5.14      0.00      3.55      0.00      0.00     91.31
15时45分32秒     all      3.58      0.00      3.20      0.00      0.00     93.22
15时45分33秒     all      7.70      0.00      5.64      0.00      0.00     86.66
15时45分34秒     all      2.84      0.00      2.90      0.13      0.00     94.14
15时45分35秒     all      4.59      0.00      3.25      0.00      0.00     92.15
15时45分36秒     all      5.12      0.00      3.24      0.06      0.00     91.58
15时45分37秒     all      4.38      0.00      7.47      0.00      0.00     88.15
15时45分38秒     all     24.72      0.00      3.17      0.00      0.00     72.10
15时45分39秒     all     34.95      0.00      4.22      0.32      0.00     60.51
15时45分40秒     all     28.63      0.00      3.02      0.00      0.00     68.36
15时45分41秒     all     27.81      0.00      2.31      0.00      0.00     69.88
15时45分42秒     all     28.99      0.00      4.25      0.00      0.00     66.75
15时45分43秒     all     26.88      0.00      1.22      0.00      0.00     71.91
15时45分44秒     all     26.43      0.00      0.57      0.13      0.00     72.87
15时45分45秒     all     26.59      0.00      0.95      0.00      0.00     72.46
15时45分46秒     all     27.48      0.00      0.70      0.00      0.00     71.82
15时45分47秒     all     26.19      0.00      0.57      0.00      0.00     73.24
15时45分48秒     all     26.29      0.00      0.76      0.00      0.00     72.95
15时45分49秒     all     27.82      0.00      0.57      0.51      0.00     71.10
15时45分50秒     all     25.48      0.00      0.32      0.00      0.00     74.20
15时45分51秒     all     26.38      0.00      1.20      0.00      0.00     72.42
15时45分52秒     all     25.92      0.00      0.51      0.00      0.00     73.57
15时45分53秒     all     25.65      0.00      0.25      0.00      0.00     74.10
15时45分54秒     all     25.59      0.00      0.45      0.00      0.00     73.97
15时45分55秒     all     25.84      0.00      0.51      0.00      0.00     73.65
15时45分56秒     all     25.75      0.00      0.51      0.00      0.00     73.75
15时45分57秒     all     25.76      0.00      0.32      0.00      0.00     73.92
15时45分58秒     all     25.79      0.00      0.44      0.00      0.00     73.76
15时45分59秒     all     25.67      0.00      0.38      0.13      0.00     73.82
15时46分00秒     all     25.84      0.00      0.57      0.00      0.00     73.59
15时46分01秒     all     25.70      0.00      0.44      0.00      0.00     73.86
15时46分02秒     all     25.54      0.00      0.32      0.00      0.00     74.14
